FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,_lithk_cona,_depth_to_moho_?,d_2_young_rift,OBJECTID_1,lon,lat,_num_in_cell,_num_in_continent,GHF,upper_mantle_vel_structure,_lithology_HM_unmodified,rock_type,age,magnetic_anomaly,depth_to_moho,_depth_to_moho_pasyanos,lithos_asthenos_bdry,_airy_gravity_anomaly,bougeur_gravity_anomaly,topography,_continent
500,1,17.003,17.0,-0.0054,1389.41,1186.21,1379.04,430.18,2.915475947,1.440000057,49.8199997,190.0,-48.41,354.18,8736,-110.333313,46.50012207,5,18947,65.9440002,4,3,3,1.1004281,-56.5401001,-41.013401,46985.10156,65734.0,23.4437008,-25.3374996,1817.569946,North America
501,1,15.0,16.0,-0.044,1071.42,806.7,1129.2,473.22,4.949747468,1.440000057,42.6800003,100.0,-41.49,234.65,8928,-114.333313,47.50012207,2,18947,72.6747971,4,3,3,0.91394377,-114.4499969,-39.9080009,45553.80078,92804.5,7.0675602,-6.24822,1027.920044,North America
502,2,14.004,14.0,-0.0043,2728.41,2842.6,2948.76,2837.59,20.70024154,1.980000019,37.5400009,190.0,-37.42,1429.8,8774,-72.33331299,46.50012207,3,18947,37.0073013,2,8,2,1.99820113,263.1589966,-34.9828987,46335.19922,217255.0,-22.4157009,93.305397,35.1927986,North America
503,4,13.996,14.0,-0.0086,2924.32,2833.08,2950.68,2773.18,22.63846285,0.959999979,37.25,200.0,-36.96,1511.58,8771,-75.33331299,46.50012207,4,18947,32.3368988,2,8,2,1.94148374,-52.5707016,-38.1287003,45774.5,215919.0,-19.2304993,81.3998032,285.5960083,North America
504,4,14.004,14.0,-0.007,2794.53,2836.53,2946.63,2840.16,21.31900561,0.959999979,36.7099991,200.0,-36.38,1479.15,8773,-73.33331299,46.50012207,1,18947,33.8203011,2,8,2,1.98113573,-169.8820038,-40.7473984,45462.60156,243342.0,-33.8266983,68.3103027,352.5109863,North America
505,6,15.998,15.0,0.019400001,2126.67,2098.4,2120.89,1193.42,12.34908904,0.959999979,35.8699989,210.0,-35.52,1141.77,8749,-97.33331299,46.50012207,3,18947,40.9380989,1,1,3,2.80578732,70.6252975,-41.9908981,44092.5,245534.0,-5.9443698,79.0360031,327.5249939,North America
506,1,10.496,11.0,-0.0277,507.45,191.64,712.27,70.63,7.516648189,1.440000057,43.5099983,100.0,-43.06,254.94,8723,-123.333313,46.50012207,10,18947,44.8464012,5,2,3,0.81975251,73.3498993,-25.7709007,37282.5,70375.79688,40.1405983,164.4259949,194.0370026,North America
507,5,14.997,15.0,0.021299999,2654.51,2698.9,2654.45,1786.17,17.90251379,0.959999979,45.3400002,220.0,-44.96,1067.8,8757,-89.33331299,46.50012207,2,18947,45.6727982,1,11,1,2.5973475,-196.1869965,-37.6587982,49011.10156,264696.0,8.8582096,95.9048004,459.9150085,North America
508,4,15.0,15.0,-0.0211,3110.83,2891.8,3001.11,2388.41,24.82941804,0.959999979,35.75,210.0,-35.43,1223.5,8765,-81.33331299,46.50012207,6,18947,45.044899,2,5,3,2.13824511,277.3330078,-39.1576004,38221.19922,243017.0,-6.04001,92.6259003,274.4590149,North America
509,4,15.001,15.0,-0.0381,3111.54,2911.37,3017.3,2313.79,23.92697223,0.959999979,38.8600006,210.0,-38.52,1188.93,8764,-82.33331299,46.50012207,8,18947,46.8945999,2,9,1,2.16651535,-189.1900024,-41.2495995,39925.30078,251634.0,-7.2041302,88.9256973,368.9840088,North America
510,1,14.75,14.0,-0.030200001,818.05,573.48,891.09,329.83,6.964194139,1.440000057,36.4599991,100.0,-35.67,167.85,8729,-117.333313,46.50012207,16,18947,70.6736984,6,2,1,0.61840975,-56.2947006,-34.0028,41332.89844,50369.10156,10.5585003,49.3185005,762.7719727,North America
