FID,G_ther_age,thk_up_cru,thk_mid_cr,upman_den_,d_2ridge,d_2trench,d2_transfo,d_2volcano,d_2hotspot,G_heat_pro,crusthk_cr,lithk_cona,depthmoho,G_d_2yng_r,OBJECTID_1,Longitude_1,Latitude_1,num_in_cel,num_in_con,GHF,G_u_m_vel_,lthlgy_all,lthlgy_mod,age,magnetic_M,moho_GReD,moho_Pasya,litho_asth,WGM2012_Ai,WGM2012_Bo,ETOPO_1deg,continent
288,5,13.0010004,12,0.0002,487.6499939,3889.050049,4852.790039,1342.079956,20.70024109,0.95999998,38.2999992,170,-36.65999985,258.6000061,289,-32.33331299,80.50012207,0,0,0,2,0,8,2.14683962,79.0574036,-34.3536987,42192.19922,181862,64.8488998,107.6299973,576.0839844,0
289,5,13.00199985,12,0.0076,472.0499878,3904.310059,4837.609863,1335.890015,20.11218452,0.95999998,38.2000008,160,-36.59999847,252.1399994,290,-31.33331299,80.50012207,0,0,0,2,0,8,2.12030888,116.3050003,-35.2729988,40263.60156,198879,63.1680984,105.9199982,576.0839844,0
290,5,13.00199985,12,0.0136,456.4899902,3919.409912,4822.629883,1329.969971,19.55760765,0.95999998,38,160,-36.45999908,243.3800049,291,-30.33331299,80.50012207,0,0,0,2,0,8,2.08618283,150.2539978,-36.5418015,39816.89844,204998,61.4758987,105.2020035,628.2130127,0
291,2,12.99699974,12,0.017,440.9599915,3934.360107,4807.859863,1324.310059,19.03943253,1.54999995,37,160,-35.54999924,232.1300049,292,-29.33331299,80.50012207,0,0,0,2,0,8,2.05208063,107.4990005,-38.0768013,40585.10156,205757,47.8903008,94.0180969,628.2130127,0
292,2,12.99699974,12,0.0177,425.4899902,3949.139893,4793.299805,1318.910034,18.56071091,1.54999995,36.9900017,150,-35.72999954,216.3899994,293,-28.33331299,80.50012207,0,0,0,2,0,8,2.02075696,159.9329987,-39.7689018,41994.69922,199195,38.5023994,89.3009033,854.0609741,0
293,2,13.00300026,12,0.0155,409,3963.77002,4778.950195,1313.800049,18.12456894,1.54999995,37,150,-35.99000168,200.4199982,294,-27.33331299,80.50012207,0,0,0,2,0,8,2.00463438,141.923996,-41.3212013,43300.60156,191738,29.6287003,88.0039978,854.0609741,0
294,2,13.00300026,12,0.0109,392.3099976,3978.219971,4764.830078,1308.959961,17.73414803,1.54999995,36.9000015,150,-36.22999954,184.7200012,295,-26.33331299,80.50012207,0,0,0,2,0,8,2.00371313,62.4552002,-42.5210991,43688.30078,192572,-3.6940601,64.1051025,116.0550003,0
295,2,13.00199985,12,0.005,375.6499939,3992.51001,4750.930176,1304.420044,17.39252663,1.54999995,36.9500008,140,-36.52999878,169.3800049,296,-25.33331299,80.50012207,0,0,0,2,0,8,2.0041368,42.911499,-43.0516014,43237.89844,204941,-12.1603003,64.205101,116.0550003,0
296,2,13.00199985,12,-0.0012,359.0100098,4006.629883,4737.27002,1300.160034,17.10263062,1.54999995,36.9500008,130,-36.59000015,154.5,297,-24.33331299,80.50012207,0,0,0,2,0,8,2.00590563,11.46,-42.7396011,41743.10156,213145,-15.5853004,65.1576004,98.7156982,0
514,5,12.9989996,12,0.0014,807.789978,3503.139893,5226.379883,1540.280029,39.14715958,0.95999998,38.2000008,190,-36.86999893,219.9900055,515,-55.33331299,80.50012207,0,0,0,2,0,10,2.25916243,74.1628036,-36.6661987,42440.5,231321,29.6364994,91.9717026,567.7600098,0
515,5,12.9989996,12,0.0011,794.0800171,3521.01001,5224.75,1529.97998,38.24264526,0.95999998,38.2099991,190,-36.79000092,226.2299957,516,-54.33331299,80.50012207,0,0,0,2,0,10,2.22621751,103.3420029,-36.1617012,44024.30078,213769,28.8952999,86.8406982,149.4989929,0
516,5,12.9989996,12,-0.0009,780.3400269,3538.810059,5206.72998,1519.790039,37.34300613,0.95999998,38.0999985,190,-36.63000107,233.4700012,517,-53.33331299,80.50012207,0,0,0,2,0,10,2.24354625,97.5262985,-35.7532005,43465.69922,212082,16.1928005,70.4927979,149.4989929,0
517,5,12.9989996,12,-0.0042,766.5700073,3556.530029,5188.779785,1509.719971,36.44859314,0.95999998,38.2999992,190,-36.75999832,241.6199951,518,-52.33331299,80.50012207,0,0,0,1,0,10,2.31114864,49.1943016,-35.4159012,43421.30078,218495,16.5433006,67.7959976,564.4899902,0
518,5,12.99699974,12,-0.0086,752.7800293,3574.169922,5170.890137,1499.76001,35.55981064,0.95999998,38.4000015,190,-36.81999969,250.4900055,519,-51.33331299,80.50012207,0,0,0,1,0,10,2.33894181,29.2931004,-35.1278992,43710.10156,227132,19.0209007,67.6128998,564.4899902,0
519,5,12.99699974,12,-0.0132,738.9699707,3591.719971,5153.089844,1489.939941,34.67708206,0.95999998,38.2999992,190,-36.70999908,259.3900147,520,-50.33331299,80.50012207,0,0,0,2,0,10,2.32692552,44.0321007,-34.8664017,43869.19922,240388,29.3428993,75.8356018,386.0539856,0
