FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
1064,1.0,8.003,8.0,0.022700001,1638.6,1846.15,1633.2,1522.02,15.18222645,1.00999999,33.5,386.13,-89.33331299,31.50012207,53.7654991,4.0,3.0,1.69253802,87.9480972,-26.7558002,192175.0,150.927002,82.6781998
1065,1.0,7.998,8.0,0.0218,1688.73,1888.86,1676.18,1468.18,14.23024947,1.00999999,34.9500008,366.58,-90.33331299,31.50012207,55.6435013,4.0,3.0,1.73047996,-2.95609,-25.7600002,142831.0,137.4499969,133.8869934
1066,1.0,7.998,8.0,0.0189,1743.22,1862.18,1715.84,1416.77,13.28533026,1.00999999,32.6399994,370.04,-91.33331299,31.50012207,58.0129013,3.0,3.0,1.85880005,-77.6716003,-23.9155998,77356.70313,132.6920013,42.3334999
1067,1.0,10.996,9.0,-0.034200002,649.83,1140.91,889.55,529.49,5.14781507,1.440000057,31.9599991,15.81,-106.333313,31.50012207,76.4667969,5.0,3.0,0.60134506,-56.5824013,-36.1534996,71452.89844,-2.5669,1293.800049
1068,1.0,8.997,9.5,0.0207,1553.02,1696.34,1542.92,1625.45,17.10263138,1.00999999,38.9900017,480.23,-87.33331299,31.50012207,47.5209007,4.0,3.0,1.73831248,-99.9981995,-32.573101,160915.0,119.0230026,79.4309006
1069,1.0,10.0,10.0,-0.0054,1365.78,1449.01,1652.94,1099.39,7.90569415,1.440000057,33.5099983,523.26,-97.33331299,31.50012207,55.8714981,4.0,3.0,1.86280942,-14.2439003,-35.6901016,126484.0,68.7845001,228.477005
1070,1.0,7.0,8.0,0.0089,1532.34,1579.37,1763.23,1211.96,9.617692031,1.00999999,31.5499992,505.86,-95.33331299,31.50012207,64.3836975,4.0,3.0,1.97215438,-59.5270996,-29.1403999,65422.89844,112.6949997,116.4710007
1071,1.0,7.996,8.0,0.0069,1705.08,1722.81,1787.94,1322.02,11.42365966,1.00999999,34.7099991,405.84,-93.33331299,31.50012207,63.2212982,4.0,3.0,1.97397602,-23.6247997,-26.9901009,63977.69922,122.4349976,98.6191025
1072,1.0,7.996,8.0,0.0147,1791.54,1798.47,1758.81,1370.18,12.34908904,1.00999999,30.6800003,380.94,-92.33331299,31.50012207,60.7612,3.0,3.0,1.9524523,-115.1490021,-23.6368999,71664.0,139.1640015,42.334301
1073,1.0,10.0,10.0,0.0038,1448.15,1512.33,1706.03,1159.93,8.746427842,1.00999999,30.0100002,572.27,-96.33331299,31.50012207,61.5718994,4.0,3.0,1.93335807,38.8581009,-30.6909008,73885.79688,145.2120056,139.1629944
1074,1.0,9.0,9.005,-0.0568,342.38,1209.0,531.14,393.41,5.14781507,1.440000057,28.2700005,253.18,-110.333313,31.50012207,87.3167038,5.0,3.0,0.3098684,-128.7660065,-36.5593987,50144.69922,-16.5774994,1541.650024
1075,1.0,9.5,9.998,-0.051899999,432.05,1179.82,618.85,426.53,5.700877126,1.440000057,29.1800003,161.34,-109.333313,31.50012207,85.9095993,5.0,3.0,0.3433983,13.8199997,-39.9095001,48852.10156,-14.9383001,1259.170044
1076,1.0,9.0,9.005,-0.057100002,249.2,1245.45,445.95,319.68,4.74341649,1.440000057,27.4899998,224.2,-111.333313,31.50012207,92.2485962,5.0,3.0,0.32131866,3.08108,-31.2092991,65022.10156,17.3498993,1039.229981
1077,1.0,9.5,9.998,-0.044100001,523.77,1158.48,708.15,451.95,6.363961031,1.440000057,30.0900002,69.07,-108.333313,31.50012207,87.3971024,5.0,3.0,0.42190838,-88.881897,-37.1785011,49796.60156,-19.5606995,1455.640015
1078,1.0,10.996,9.0,-0.034200002,649.83,1140.91,889.55,529.49,5.14781507,1.440000057,31.9599991,15.81,-107.333313,31.50012207,85.6591034,5.0,3.0,0.50789064,26.1047001,-35.1749001,49297.10156,-0.463562,1216.23999
1079,1.0,10.0,10.0,-0.048599999,121.2,1354.3,316.88,156.54,2.915475947,1.440000057,33.0,157.94,-115.333313,30.50012207,47.0374985,12.0,1.0,0.46517307,128.5570068,-32.469101,49910.0,121.2450027,1010.76001
1080,1.0,9.997,10.0,0.0143,1489.79,1557.5,1474.6,1730.68,19.03943276,1.00999999,40.1800003,601.44,-85.33331299,31.50012207,40.6193008,4.0,3.0,1.73219001,133.147995,-32.9145012,202237.0,146.4819946,116.6679993
1081,1.0,10.996,9.0,-0.0337,504.65,1034.63,837.87,523.43,6.519202405,1.440000057,31.0900002,126.86,-107.333313,30.50012207,79.6325989,5.0,3.0,0.46390694,-30.0501003,-37.7113991,50375.89844,-19.0361004,1390.050049
1082,1.0,9.0,9.005,-0.0484,315.87,1105.25,585.41,357.23,4.301162634,1.440000057,30.1700001,289.31,-110.333313,30.50012207,84.3347015,5.0,3.0,0.26422197,-77.5000992,-33.6333008,49440.80078,4.5082402,1184.349976
1083,1.0,10.004,10.0,-0.055500001,154.53,1288.57,365.07,245.47,4.527692569,1.440000057,25.9099998,135.23,-112.333313,31.50012207,98.9223022,5.0,3.0,0.37687126,9.6915903,-27.6259003,76811.10156,74.1461029,615.1259766
1084,2.0,10.0,10.0,-0.0018,1331.91,1286.49,1289.58,1761.77,22.19234102,1.980000019,40.5900002,857.96,-82.33331299,30.50012207,30.1644001,4.0,3.0,1.68322766,-42.9182014,-33.3704987,65690.10156,134.8439941,39.3456001
1085,1.0,7.998,8.0,0.023600001,1655.08,1754.92,1615.9,1335.25,13.65650028,1.00999999,35.0,480.37,-91.33331299,30.50012207,50.8967018,4.0,3.0,1.68152618,-110.9690018,-26.5790997,96260.20313,116.8519974,9.63276
1086,1.0,19.001,12.0,0.0119,828.27,1071.82,1195.9,719.61,5.522680509,1.440000057,41.0,39.06,-103.333313,30.50012207,50.1218987,6.0,3.0,1.23530638,-44.3372002,-35.9921989,83062.39844,11.9949999,1398.410034
1087,1.0,19.001,12.0,0.0185,904.01,1103.78,1287.08,781.46,5.700877126,1.440000057,37.7299995,42.09,-102.333313,30.50012207,48.0419998,4.0,3.0,1.47012234,215.6380005,-33.7406006,111826.0,30.8435001,988.1530151
1088,1.0,9.997,10.0,0.0099,1358.62,1411.16,1341.55,1692.44,20.26079959,1.00999999,34.9900017,748.02,-84.33331299,30.50012207,36.7619019,4.0,3.0,1.78580999,113.1399994,-37.2010994,176065.0,131.7489929,40.4632988
1089,1.0,15.998,15.0,0.0136,1144.92,1243.71,1461.16,957.63,7.106335202,1.440000057,45.9099998,304.5,-100.333313,30.50012207,46.0629005,4.0,3.0,1.62928188,204.3179932,-38.9471016,101899.0,79.4796982,695.3889771
1090,1.0,8.003,8.0,0.029100001,1543.44,1783.64,1537.02,1426.54,15.50806242,1.00999999,37.5,492.91,-90.33331299,30.50012207,50.2652016,4.0,3.0,1.68152618,-101.5500031,-27.0296001,140350.0,128.2140045,13.1935997
1091,1.0,7.998,8.0,0.023600001,1655.08,1754.92,1615.9,1335.25,13.65650028,1.00999999,35.0,480.37,-92.33331299,30.50012207,53.1889,4.0,3.0,1.9524523,10.3919001,-25.8523006,103824.0,111.9440002,13.6101999
1092,1.0,7.996,8.0,0.018300001,1658.32,1656.03,1676.67,1250.23,11.85326959,1.00999999,36.1599998,511.03,-93.33331299,30.50012207,56.0931015,4.0,3.0,1.88874769,-100.1190033,-26.0932999,94805.20313,121.2020035,29.0569992
1093,1.0,19.001,12.0,0.0119,828.27,1071.82,1195.9,719.61,5.522680509,1.440000057,41.0,39.06,-104.333313,30.50012207,56.2983017,6.0,3.0,0.98423624,-57.9135017,-38.2198982,84679.29688,-17.7322006,1464.569946
1094,1.0,8.997,9.5,0.034400001,1413.95,1551.63,1402.54,1590.98,18.34393633,1.00999999,37.5800018,626.82,-86.33331299,30.50012207,45.4500008,4.0,3.0,1.71635747,-45.6540985,-29.3381004,167011.0,131.7230072,11.9422998
